600 321 481
81 117 1877 4
280 404 19533 4
181 214 7032 3
74 458 19485 1
295 177 115 2
34 205 8525 5
216 77 1043 2
32 165 299 1
201 95 1574 3
27 376 372 4
25 205 8524 0
204 235 11232 2
129 220 7374 5
316 70 120 5
94 1 42 3
304 255 21 3
200 340 12822 0
314 174 3180 4
69 363 176 3
282 138 115 4
147 272 7914 4
86 371 76 4
149 243 11918 1
306 300 3180 4
225 235 6842 5
133 143 1248 4
208 372 11947 4
246 182 2481 1
10 139 3347 5
138 256 7060 0
2 216 121 1
135 464 18760 1
211 269 3365 4
19 386 3350 5
89 8 33 2
146 207 8872 0
53 163 4128 2
234 318 16372 1
283 118 22 3
126 294 10591 1
188 122 1047 1
34 206 4890 3
250 102 3780 3
177 156 1567 1
98 407 8001 3
51 247 12201 3
160 425 12927 0
165 300 9792 4
117 251 5323 3
274 462 20000 4
270 30 239 3
72 236 9780 1
311 275 3179 3
109 403 15024 2
183 10 885 4
6 406 18604 5
307 264 1550 4
35 145 535 0
263 411 17401 2
73 472 19857 1
139 399 13602 5
206 125 1565 4
115 18 863 1
117 422 11408 5
254 381 1549 5
216 340 15031 3
255 68 2000 4
196 405 12961 1
57 308 15877 2
55 130 4320 0
155 59 1034 1
305 54 115 2
171 371 2799 1
230 209 8260 5
95 295 14782 1
175 60 1334 5
120 239 11571 1
211 148 3167 2
241 146 879 4
62 68 3355 4
174 446 17940 5
22 50 2773 5
27 210 3865 5
243 128 2373 3
101 259 8389 2
250 85 2896 5
39 143 448 4
11 48 2657 2
159 304 15692 2
231 267 13758 2
320 356 5037 5
168 223 8352 3
56 68 1969 3
100 162 3912 4
41 74 372 0
314 81 3180 2
110 196 6120 3
265 366 16490 4
296 170 114 2
302 144 115 2
88 268 13801 5
74 263 13423 0
127 18 681 5
254 259 11129 3
87 192 5978 4
236 246 5903 5
241 308 3789 4
170 164 1420 1
13 30 1451 4
64 168 2718 5
138 208 8144 3
47 340 735 1
119 30 771 0
253 27 427 5
211 284 14839 2
74 407 19678 4
184 5 442 2
163 329 16914 4
160 87 1565 0
254 360 1861 2
134 183 6328 5
232 194 5790 5
147 234 9801 3
157 414 12828 2
223 355 12002 4
84 29 1642 4
309 86 1550 2
213 165 3406 3
28 464 20000 1
74 245 12055 4
182 314 14564 3
143 203 8449 5
66 367 449 2
68 475 20000 5
204 440 20000 1
11 58 3057 3
103 283 3944 5
238 189 4845 4
21 316 3350 5
25 211 3116 3
263 92 967 1
300 467 8841 1
82 344 6753 5
212 398 3391 2
256 111 2127 2
40 264 13479 2
311 190 3180 1
204 420 5053 2
293 326 3017 4
259 425 20000 3
308 461 20000 2
265 449 20000 5
106 58 693 3
116 352 12170 0
46 401 19177 0
119 428 12666 5
40 369 113 3
99 200 6591 2
14 64 113 3
8 230 2016 1
188 386 8583 5
160 449 13947 5
73 115 1794 4
43 213 9280 5
147 153 1268 0
48 225 7588 4
208 194 7641 5
59 92 3757 5
174 199 8058 0
209 480 20000 2
66 344 114 5
83 10 828 0
318 328 4498 1
163 51 1646 3
185 408 12157 1
213 130 1574 0
92 84 600 4
217 90 1801 1
29 429 18240 2
144 343 10190 2
318 208 3999 1
70 35 2113 0
40 161 3253 5
84 173 5146 0
60 413 19974 5
160 220 8217 1
28 305 372 3
52 201 8195 1
293 98 377 0
143 242 6032 2
134 442 3683 1
164 223 8458 3
114 451 19436 2
88 398 11906 5
154 203 8454 5
159 202 8337 1
111 448 20000 2
144 13 1103 0
184 389 18732 1
53 142 4453 3
37 426 20000 3
307 14 114 1
121 393 9971 5
260 140 879 1
117 480 20000 2
177 378 8576 5
81 170 4474 2
48 225 7588 0
212 95 1951 2
89 285 10669 1
277 16 16 1
42 408 17869 1
255 328 174 5
235 56 872 4
24 162 993 3
187 150 1267 1
298 24 112 3
293 322 3126 0
120 226 6885 1
163 215 7148 1
101 254 12733 3
106 101 885 3
26 190 6726 0
146 284 8998 5
261 342 17239 3
9 66 1623 2
